"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6062975,9651011,"Satellite",4617850,"GPS","5/24/2019 4:00:00",40.2095,64.05033,26,203,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062976,9651011,"Satellite",4617850,"GPS","2/17/2019 10:00:00",28.09583,61.31683,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062977,9651011,"Satellite",4617850,"GPS","10/13/2018 8:00:00",39.75533,65.41817,26,337,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062978,9651011,"Satellite",4617850,"GPS","8/7/2018 22:00:00",39.73183,65.39433,26,316,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062980,9651011,"Satellite",4617850,"GPS","7/8/2019 6:00:00",40.47483,64.77983,26,269,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062981,9651011,"Satellite",4617850,"GPS","2/18/2019 12:00:00",28.105,61.31483,26,1373,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062982,9651011,"Satellite",4617850,"GPS","8/6/2018 12:00:00",39.76083,65.41033,26,339,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062983,9651011,"Satellite",4617850,"GPS","10/13/2018 16:00:00",39.757,65.412,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062984,9651011,"Satellite",4617850,"GPS","9/27/2018 18:00:00",39.75567,65.40833,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062986,9651011,"Satellite",4617850,"GPS","7/7/2019 4:00:00",40.48233,64.7835,26,270,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
