"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6056523,9651010,"Satellite",16211,"GPS","4/23/2019 16:00:00",35.17833,60.99817,26,774,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056524,9651010,"Satellite",16211,"GPS","9/30/2019 0:00:00",39.63867,65.3655,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056525,9651010,"Satellite",16211,"GPS","11/22/2018 0:00:00",30.545,64.87583,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056526,9651010,"Satellite",16211,"GPS","3/13/2019 6:00:00",30.53467,64.9535,26,1057,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056528,9651010,"Satellite",16211,"GPS","3/12/2019 22:00:00",30.55217,64.93867,26,1059,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056529,9651010,"Satellite",16211,"GPS","12/5/2019 14:00:00",31.108,64.68433,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056530,9651010,"Satellite",16211,"GPS","12/6/2019 8:00:00",31.1225,64.69217,26,1115,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056534,9651010,"Satellite",16211,"GPS","4/23/2019 4:00:00",35.17333,61.00083,26,762,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056535,9651010,"Satellite",16211,"GPS","4/23/2019 0:00:00",35.17633,60.9965,26,774,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056536,9651010,"Satellite",16211,"GPS","10/1/2019 8:00:00",39.633,65.36933,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056537,9651010,"Satellite",16211,"GPS","10/1/2019 10:00:00",39.632,65.36917,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056538,9651010,"Satellite",16211,"GPS","11/22/2018 20:00:00",30.54633,64.8635,26,1056,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
