"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6067109,9651012,"Satellite",4637296,"GPS","11/11/2018 4:00:00",39.61967,65.26483,26,268,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067110,9651012,"Satellite",4637296,"GPS","11/11/2018 18:00:00",39.61783,65.24417,26,267,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067112,9651012,"Satellite",4637296,"GPS","7/9/2018 20:00:00",39.75267,65.39767,26,326,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067114,9651012,"Satellite",4637296,"GPS","1/31/2019 22:00:00",36.91233,62.56917,26,340,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067115,9651012,"Satellite",4637296,"GPS","10/10/2018 8:00:00",39.64633,65.378,26,284,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067116,9651012,"Satellite",4637296,"GPS","5/11/2019 10:00:00",39.98383,65.015,26,316,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067117,9651012,"Satellite",4637296,"GPS","5/12/2019 6:00:00",39.98733,64.999,26,299,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067118,9651012,"Satellite",4637296,"GPS","12/6/2019 2:00:00",38.12167,64.08667,26,218,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067119,9651012,"Satellite",4637296,"GPS","6/3/2018 2:00:00",39.74867,65.38317,26,319,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067122,9651012,"Satellite",4637296,"GPS","6/6/2018 16:00:00",39.74783,65.3795,26,319,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067124,9651012,"Satellite",4637296,"GPS","12/19/2018 16:00:00",36.907,62.58317,26,341,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067126,9651012,"Satellite",4637296,"GPS","1/9/2020 0:00:00",35.34,61.76383,26,667,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067127,9651012,"Satellite",4637296,"GPS","7/24/2018 12:00:00",39.7575,65.39683,26,326,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067128,9651012,"Satellite",4637296,"GPS","10/10/2018 12:00:00",39.64567,65.37467,26,284,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067129,9651012,"Satellite",4637296,"GPS","6/25/2019 10:00:00",39.70467,65.22567,26,272,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067130,9651012,"Satellite",4637296,"GPS","6/4/2018 0:00:00",39.7475,65.38867,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067131,9651012,"Satellite",4637296,"GPS","12/4/2019 18:00:00",38.126,64.09067,26,217,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067132,9651012,"Satellite",4637296,"GPS","5/11/2019 14:00:00",39.99,65.00783,26,306,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067134,9651012,"Satellite",4637296,"GPS","5/15/2019 12:00:00",39.98183,65.02133,26,334,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067137,9651012,"Satellite",4637296,"GPS","11/11/2018 6:00:00",39.6205,65.26,26,268,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067138,9651012,"Satellite",4637296,"GPS","7/15/2018 2:00:00",39.7595,65.39283,26,331,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067140,9651012,"Satellite",4637296,"GPS","1/9/2020 2:00:00",35.345,61.741,26,677,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067141,9651012,"Satellite",4637296,"GPS","5/14/2019 20:00:00",39.9785,65.0025,26,319,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067142,9651012,"Satellite",4637296,"GPS","10/10/2018 10:00:00",39.64433,65.378,26,284,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067143,9651012,"Satellite",4637296,"GPS","7/9/2018 22:00:00",39.75267,65.3975,26,326,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067144,9651012,"Satellite",4637296,"GPS","10/4/2019 0:00:00",39.515,65.42233,26,291,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067145,9651012,"Satellite",4637296,"GPS","12/27/2018 0:00:00",36.91683,62.5605,26,328,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067146,9651012,"Satellite",4637296,"GPS","1/8/2020 22:00:00",35.34,61.76383,26,667,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067147,9651012,"Satellite",4637296,"GPS","8/20/2018 4:00:00",39.742,65.3985,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067148,9651012,"Satellite",4637296,"GPS","9/30/2018 4:00:00",39.66233,65.34033,26,284,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067149,9651012,"Satellite",4637296,"GPS","12/13/2019 12:00:00",38.134,64.03733,26,219,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067150,9651012,"Satellite",4637296,"GPS","6/6/2018 10:00:00",39.74967,65.38633,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067152,9651012,"Satellite",4637296,"GPS","11/11/2018 22:00:00",39.61783,65.24417,26,267,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067153,9651012,"Satellite",4637296,"GPS","7/16/2018 0:00:00",39.75817,65.3875,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067154,9651012,"Satellite",4637296,"GPS","12/27/2018 6:00:00",36.91883,62.56033,26,328,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067156,9651012,"Satellite",4637296,"GPS","1/31/2019 20:00:00",36.91233,62.56917,26,340,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067157,9651012,"Satellite",4637296,"GPS","6/3/2018 18:00:00",39.75017,65.3845,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067158,9651012,"Satellite",4637296,"GPS","6/25/2019 8:00:00",39.70467,65.22567,26,272,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067159,9651012,"Satellite",4637296,"GPS","6/29/2019 22:00:00",39.60267,65.38133,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067162,9651012,"Satellite",4637296,"GPS","11/6/2018 10:00:00",39.608,65.25733,26,270,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067163,9651012,"Satellite",4637296,"GPS","12/20/2018 0:00:00",36.907,62.58317,26,341,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067164,9651012,"Satellite",4637296,"GPS","5/15/2019 2:00:00",39.97,64.99917,26,316,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067165,9651012,"Satellite",4637296,"GPS","6/6/2018 14:00:00",39.74367,65.39217,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067168,9651012,"Satellite",4637296,"GPS","7/16/2018 14:00:00",39.74167,65.39933,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067169,9651012,"Satellite",4637296,"GPS","5/9/2019 6:00:00",40.0135,65.28533,26,483,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067172,9651012,"Satellite",4637296,"GPS","12/5/2019 2:00:00",38.1275,64.0895,26,217,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
